X_km,Y_km,Z_km
-1.058526282901084572e+08,1.268485016289612800e+08,6.078427207348008454e+07
-1.080789534405108541e+08,1.258773810347636491e+08,6.039671048221963644e+07
-1.102856957104329169e+08,1.248834516995565444e+08,5.999820514337221533e+07
-1.124726314809826016e+08,1.238670932900744975e+08,5.958892414476328343e+07
-1.146395457859706730e+08,1.228286841678035259e+08,5.916903519830574840e+07
-1.167862321351624429e+08,1.217686012590432465e+08,5.873870557598530501e+07
-1.189124923378835618e+08,1.206872199320136309e+08,5.829810204907996953e+07
-1.210181363272053897e+08,1.195849138808005750e+08,5.784739083052524179e+07
-1.231029819849147201e+08,1.184620550159319043e+08,5.738673752033510059e+07
-1.251668549674634635e+08,1.173190133613794297e+08,5.691630705398970097e+07
-1.272095885330763608e+08,1.161561569577804506e+08,5.643626365370032936e+07
-1.292310233701828271e+08,1.149738517716723680e+08,5.594677078246103227e+07
-1.312310074273263216e+08,1.137724616105406433e+08,5.544799110079955310e+07
-1.332093957446908504e+08,1.125523480434772670e+08,5.494008642613825202e+07
-1.351660502873753607e+08,1.113138703272508681e+08,5.442321769467724115e+07
-1.371008397805311978e+08,1.100573853375954032e+08,5.389754492571450025e+07
-1.390136395464718342e+08,1.087832475055215955e+08,5.336322718831586093e+07
-1.409043313438500166e+08,1.074918087584635615e+08,5.282042257025169581e+07
-1.427728032089900672e+08,1.061834184660742432e+08,5.226928814911694825e+07
-1.446189492994529009e+08,1.048584233904876858e+08,5.170997996555338800e+07
-1.464426697399029434e+08,1.035171676408684850e+08,5.114265299849361926e+07
-1.482438704703379869e+08,1.021599926320754290e+08,5.056746114234901965e+07
-1.500224630967346728e+08,1.007872370472670943e+08,4.998455718606434762e+07
-1.517783647441552877e+08,9.939923680428582430e+07,4.939409279396509379e+07
-1.535114979123556614e+08,9.799632502565407753e+07,4.879621848832274973e+07
-1.552217903339250386e+08,9.657883201202929020e+07,4.819108363356827945e+07
-1.569091748349854052e+08,9.514708521896085143e+07,4.757883642208283395e+07
-1.585735891984699667e+08,9.370140923680226505e+07,4.695962386149910092e+07
-1.602149760299962163e+08,9.224212577363198996e+07,4.633359176344649494e+07
-1.618332826263441741e+08,9.076955364104318619e+07,4.570088473367648572e+07
-1.634284608465445638e+08,8.928400874266794324e+07,4.506164616350664943e+07
-1.650004669855785966e+08,8.778580406529971957e+07,4.441601822252117842e+07
-1.665492616506863832e+08,8.627524967249324918e+07,4.376414185247233510e+07
-1.680748096402774751e+08,8.475265270051141083e+07,4.310615676232312620e+07
-1.695770798254334629e+08,8.321831735650628805e+07,4.244220142437908798e+07
-1.710560450339897275e+08,8.167254491881442070e+07,4.177241307145422697e+07
-1.725116819371792674e+08,8.011563373925930262e+07,4.109692769502131641e+07
-1.739439709388216734e+08,7.854787924735131860e+07,4.041588004429620504e+07
-1.753528960670337379e+08,7.696957395628452301e+07,3.972940362620931119e+07
-1.767384448684399426e+08,7.538100747062808275e+07,3.903763070621696860e+07
-1.781006083048567176e+08,7.378246649562034011e+07,3.834069230990980566e+07
-1.794393806524230838e+08,7.217423484797136486e+07,3.763871822537449002e+07
-1.807547594031484127e+08,7.055659346808648109e+07,3.693183700626783073e+07
-1.820467451688476801e+08,6.892982043362653255e+07,3.622017597556407750e+07
-1.833153415874313712e+08,6.729419097432234883e+07,3.550386122993667424e+07
-1.845605552315175533e+08,6.564997748796728253e+07,3.478301764473892748e+07
-1.857823955193327963e+08,6.399744955751091987e+07,3.405776887954728305e+07
-1.869808746278649569e+08,6.233687396918424219e+07,3.332823738423462957e+07
-1.881560074082351923e+08,6.066851473158565164e+07,3.259454440554029495e+07
-1.893078113032496870e+08,5.899263309566446394e+07,3.185680999410674348e+07
-1.904363062670969665e+08,5.730948757553619891e+07,3.111515301195201650e+07
-1.915415146871514916e+08,5.561933397007259727e+07,3.036969114035093039e+07
-1.926234613078473210e+08,5.392242538520725816e+07,2.962054088809672371e+07
-1.936821731565826833e+08,5.221901225690064579e+07,2.886781760011675581e+07
-1.947176794716188312e+08,5.050934237471599132e+07,2.811163546641891077e+07
-1.957300116319334209e+08,4.879366090595226735e+07,2.735210753134306893e+07
-1.967192030889916420e+08,4.707221042028962076e+07,2.658934570309637487e+07
-1.976852893003956974e+08,4.534523091489849240e+07,2.582346076354887709e+07
-1.986283076653759480e+08,4.361295983997378498e+07,2.505456237827090919e+07
-1.995482974620842934e+08,4.187563212464827299e+07,2.428275910679026693e+07
-2.004452997866536379e+08,4.013348020324920118e+07,2.350815841305181757e+07
-2.013193574939841628e+08,3.838673404186017811e+07,2.273086667606098950e+07
-2.021705151402214468e+08,3.663562116515152156e+07,2.195098920069355145e+07
-2.029988189268875718e+08,3.488036668344897032e+07,2.116863022865692154e+07
-2.038043166466301382e+08,3.312119332000350952e+07,2.038389294958489761e+07
-2.045870576305519938e+08,3.135832143843849003e+07,1.959687951225411519e+07
-2.053470926970872879e+08,2.959196907033962011e+07,1.880769103590544313e+07
-2.060844741023874283e+08,2.782235194296583533e+07,1.801642762165953964e+07
-2.067992554921837151e+08,2.604968350704999268e+07,1.722318836401117593e+07
-2.074914918550896049e+08,2.427417496467016637e+07,1.642807136239290237e+07
-2.081612394773132205e+08,2.249603529716607928e+07,1.563117373279542476e+07
