X_km,Y_km,Z_km
-2.002392549632917941e+08,1.312869517725831568e+08,6.564637329102692008e+07
-2.013978851414993107e+08,1.298966605823333561e+08,6.503991306722960621e+07
-2.025434610643696785e+08,1.284979045589999408e+08,6.442921807827528566e+07
-2.036759147900107801e+08,1.270907785242582411e+08,6.381432998522017896e+07
-2.047951790605254173e+08,1.256753776030668318e+08,6.319529060664866120e+07
-2.059011873012268245e+08,1.242517972217352539e+08,6.257214191776151210e+07
-2.069938736198293567e+08,1.228201331061410904e+08,6.194492604953236133e+07
-2.080731728057385683e+08,1.213804812799332887e+08,6.131368528786045313e+07
-2.091390203293419182e+08,1.199329380628553033e+08,6.067846207277902961e+07
-2.101913523413982093e+08,1.184776000690662712e+08,6.003929899766561389e+07
-2.112301056724229157e+08,1.170145642055959702e+08,5.939623880851399899e+07
-2.122552178322041631e+08,1.155439276707563251e+08,5.874932440319016576e+07
-2.132666270093018115e+08,1.140657879527032375e+08,5.809859883075723052e+07
-2.142642720706927478e+08,1.125802428279292881e+08,5.744410529077313095e+07
-2.152480925613940358e+08,1.110873903599187881e+08,5.678588713266274333e+07
-2.162180287042360604e+08,1.095873288977109939e+08,5.612398785505259782e+07
-2.171740213996428847e+08,1.080801570745753050e+08,5.545845110515785217e+07
-2.181160122254925370e+08,1.065659738066959977e+08,5.478932067817638814e+07
-2.190439434370466173e+08,1.050448782918563634e+08,5.411664051668548584e+07
-2.199577579669318199e+08,1.035169700081574023e+08,5.344045471005643904e+07
-2.208573994251848757e+08,1.019823487127447426e+08,5.276080749387522042e+07
-2.217428120993385911e+08,1.004411144405647218e+08,5.207774324937879294e+07
-2.226139409545845091e+08,9.889336750309343636e+07,5.139130650288137048e+07
-2.234707316339521706e+08,9.733920848712676764e+07,5.070154192523007095e+07
-2.243131304585511088e+08,9.577873825355710089e+07,5.000849433125647902e+07
-2.251410844278537333e+08,9.421205793616093695e+07,4.931220867923476547e+07
-2.259545412200276554e+08,9.263926894038495421e+07,4.861273007034084946e+07
-2.267534491922823787e+08,9.106047294218775630e+07,4.791010374813754857e+07
-2.275377573812748194e+08,8.947577188686800003e+07,4.720437509805487096e+07
-2.283074155035507083e+08,8.788526798790262640e+07,4.649558964687615633e+07
-2.290623739560097456e+08,8.628906372583949566e+07,4.578379306224897504e+07
-2.298025838164227903e+08,8.468726184718491137e+07,4.506903115219487250e+07
-2.305279968439860344e+08,8.307996536331671476e+07,4.435134986463094503e+07
-2.312385654799130857e+08,8.146727754943557084e+07,4.363079528690933436e+07
-2.319342428480789363e+08,7.984930194352108240e+07,4.290741364535914361e+07
-2.326149827556996942e+08,7.822614234534038603e+07,4.218125130485247076e+07
-2.332807396940747797e+08,7.659790281545040011e+07,4.145235476836814731e+07
-2.339314688393693566e+08,7.496468767426005006e+07,4.072077067658270895e+07
-2.345671260534634292e+08,7.332660150107997656e+07,3.998654580745653808e+07
-2.351876678848433197e+08,7.168374913323721290e+07,3.924972707584960014e+07
-2.357930515695711076e+08,7.003623566516415775e+07,3.851036153312665224e+07
-2.363832350323115587e+08,6.838416644751159847e+07,3.776849636677394062e+07
-2.369581768874042034e+08,6.672764708632719517e+07,3.702417890004649013e+07
-2.375178364400211871e+08,6.506678344218462706e+07,3.627745659159438312e+07
-2.380621736873845756e+08,6.340168162933585793e+07,3.552837703510084003e+07
-2.385911493200331032e+08,6.173244801491146535e+07,3.477698795894344151e+07
-2.391047247231781483e+08,6.005918921804601699e+07,3.402333722582340986e+07
-2.396028619780910015e+08,5.838201210910292715e+07,3.326747283244149014e+07
-2.400855238635869622e+08,5.670102380878430605e+07,3.250944290912418067e+07
-2.405526738575320840e+08,5.501633168735785782e+07,3.174929571950480714e+07
-2.410042761384402215e+08,5.332804336377049237e+07,3.098707966015588865e+07
-2.414402955870994925e+08,5.163626670485977083e+07,3.022284326026804373e+07
-2.418606977882814407e+08,4.994110982445044816e+07,2.945663518127956986e+07
-2.422654490324700177e+08,4.824268108257361501e+07,2.868850421656381711e+07
-2.426545163176767230e+08,4.654108908456556499e+07,2.791849929106495157e+07
-2.430278673512889147e+08,4.483644268022660911e+07,2.714666946096327901e+07
-2.433854705519737005e+08,4.312885096296569705e+07,2.637306391333676875e+07
-2.437272950516346693e+08,4.141842326895086467e+07,2.559773196582763270e+07
-2.440533106974237263e+08,3.970526917625226825e+07,2.482072306630814821e+07
-2.443634880538129210e+08,3.798949850394818187e+07,2.404208679253184050e+07
-2.446577984047083259e+08,3.627122131133517623e+07,2.326187285183436051e+07
-2.449362137556390166e+08,3.455054789702932537e+07,2.248013108078685775e+07
-2.451987068360033929e+08,3.282758879811170697e+07,2.169691144487168640e+07
-2.454452511013769805e+08,3.110245478929021955e+07,2.091226403816719353e+07
-2.456758207358903289e+08,2.937525688203131407e+07,2.012623908302075788e+07
-2.458903906546723247e+08,2.764610632374962419e+07,1.933888692974974588e+07
-2.460889365063809156e+08,2.591511459685391933e+07,1.855025805627861619e+07
-2.462714346757895648e+08,2.418239341794705391e+07,1.776040306784745678e+07
-2.464378622864604592e+08,2.244805473693430051e+07,1.696937269668025523e+07
-2.465881972034969032e+08,2.071221073610923812e+07,1.617721780164409988e+07
-2.467224180363712013e+08,1.897497382921633124e+07,1.538398936789883301e+07
-2.468405041418281198e+08,1.723645666055003554e+07,1.458973850656448863e+07
-2.469424356268717647e+08,1.549677210394111276e+07,1.379451645433837362e+07
-2.470281933518205285e+08,1.375603326180665195e+07,1.299837457314205356e+07
-2.470977589334455431e+08,1.201435346406201832e+07,1.220136434970642254e+07
-2.471511147481711805e+08,1.027184626708124019e+07,1.140353739517968893e+07
-2.471882439353500605e+08,8.528625452575994655e+06,1.060494544469920918e+07
-2.472091304005980790e+08,6.784805026431673206e+06,9.805640356944531202e+06
-2.472137588191956282e+08,5.040499217523476109e+06,9.005674113682352006e+06
-2.472021146395416856e+08,3.295822476467336528e+06,8.205098819282466546e+06
-2.471741840866637230e+08,1.550889474339189706e+06,7.403966700220364146e+06
-2.471299541657801569e+08,-1.941848986790548079e+05,6.602330104547094554e+06
-2.470694126659074426e+08,-1.939285534628484631e+06,5.800241501371765509e+06
-2.469925481635161638e+08,-3.684297109212094918e+06,4.997753480294678360e+06
-2.468993500262274742e+08,-5.429104083247945644e+06,4.194918750834958628e+06
-2.467898084165568054e+08,-7.173590704116695561e+06,3.391790141862115357e+06
-2.466639142956956923e+08,-8.917641007342180237e+06,2.588420600967623759e+06
-2.465216594273423851e+08,-1.066113881807358004e+07,1.784863193882991327e+06
-2.463630363815734982e+08,-1.240396775270359032e+07,9.811711038368359441e+05
-2.461880385387635827e+08,-1.414601122045336664e+07,1.773976309284993040e+05
-2.459966600935566127e+08,-1.588715242500473373e+07,-6.264038085182355717e+05
-2.457888960588883758e+08,-1.762727436615358666e+07,-1.430179682609758107e+06
-2.455647422700679004e+08,-1.936625984147333354e+07,-2.233876344539968297e+06
-2.453241953889157772e+08,-2.110399144803967327e+07,-3.037440033273886889e+06
-2.450672529079800248e+08,-2.284035158409811556e+07,-3.840816874202846084e+06
-2.447939131548006833e+08,-2.457522245089343935e+07,-4.643952879872273654e+06
-2.445041752962718308e+08,-2.630848605436779559e+07,-5.446793950646247715e+06
-2.441980393430615664e+08,-2.804002420703537017e+07,-6.249285875451315194e+06
-2.438755061541250050e+08,-2.976971852978426963e+07,-7.051374332483763807e+06
-2.435365774412867427e+08,-3.149745045382136106e+07,-7.853004889980603941e+06
-2.431812557739269733e+08,-3.322310122254727781e+07,-8.654123006954664364e+06
-2.428095445837350786e+08,-3.494655189358070493e+07,-9.454674033996459097e+06
-2.424214481695522368e+08,-3.666768334081573039e+07,-1.025460321408757754e+07
-2.420169717023119032e+08,-3.838637625649037212e+07,-1.105385568341652863e+07
-2.415961212300463915e+08,-4.010251115338978171e+07,-1.185237647225332074e+07
-2.411589036829875112e+08,-4.181596836707284302e+07,-1.265011050583200343e+07
-2.407053268787361681e+08,-4.352662805821350962e+07,-1.344700260528282821e+07
-2.402353995275173783e+08,-4.523437021497828513e+07,-1.424299748857809231e+07
-2.397491312374945879e+08,-4.693907465553452820e+07,-1.503803977153570950e+07
-2.392465325201696455e+08,-4.864062103057840466e+07,-1.583207396882849932e+07
-2.387276147958264053e+08,-5.033888882602715492e+07,-1.662504449506724067e+07
-2.381923903990452886e+08,-5.203375736574617773e+07,-1.741689566589711979e+07
-2.376408725842754841e+08,-5.372510581437434256e+07,-1.820757169913701713e+07
-2.370730755314531624e+08,-5.541281318025086075e+07,-1.899701671596409753e+07
-2.364890143516817689e+08,-5.709675831839692593e+07,-1.978517474212117493e+07
-2.358887050929381549e+08,-5.877681993364449590e+07,-2.057198970919117704e+07
-2.352721647458522320e+08,-6.045287658377774060e+07,-2.135740545587532967e+07
-2.346394112495010495e+08,-6.212480668283373863e+07,-2.214136572934427112e+07
-2.339904634972762764e+08,-6.379248850441558659e+07,-2.292381418659327552e+07
-2.333253413427776098e+08,-6.545580018512904644e+07,-2.370469439585419372e+07
-2.326440656057501733e+08,-6.711461972810915112e+07,-2.448394983804800734e+07
-2.319466580780767798e+08,-6.876882500659868121e+07,-2.526152390826065838e+07
-2.312331415298120677e+08,-7.041829376762375236e+07,-2.603735991726345196e+07
-2.305035397152602971e+08,-7.206290363576352596e+07,-2.681140109307625517e+07
-2.297578773791118860e+08,-7.370253211698055267e+07,-2.758359058255828172e+07
-2.289961802626252770e+08,-7.533705660255272686e+07,-2.835387145304528624e+07
-2.282184751098693311e+08,-7.696635437307551503e+07,-2.912218669401867688e+07
-2.274247896739938259e+08,-7.859030260261139274e+07,-2.988847921884222329e+07
-2.266151527235989869e+08,-8.020877836283670366e+07,-3.065269186649628356e+07
-2.257895940491143763e+08,-8.182165862738473713e+07,-3.141476740340232477e+07
-2.249481444692778289e+08,-8.342882027619473636e+07,-3.217464852524831519e+07
-2.240908358376096785e+08,-8.503014010008871555e+07,-3.293227785891947523e+07
-2.232177010490018725e+08,-8.662549480532394350e+07,-3.368759796441477537e+07
-2.223287740463313758e+08,-8.821476101832222939e+07,-3.444055133684452623e+07
-2.214240898270954490e+08,-8.979781529055924714e+07,-3.519108040850020200e+07
-2.205036844501427114e+08,-9.137453410347977281e+07,-3.593912755093365908e+07
-2.195675950424141884e+08,-9.294479387359786034e+07,-3.668463507712032646e+07
-2.186158598057381213e+08,-9.450847095769552886e+07,-3.742754524366553128e+07
-2.176485180236454308e+08,-9.606544165817424655e+07,-3.816780025307938457e+07
-2.166656100682453811e+08,-9.761558222848719358e+07,-3.890534225608629733e+07
-2.156671774070956707e+08,-9.915876887876352668e+07,-3.964011335402145982e+07
-2.146532626101526320e+08,-1.006948777814707756e+08,-4.037205560124170035e+07
-2.136239093566688001e+08,-1.022237850773333907e+08,-4.110111100765396655e+07
-2.125791624421889186e+08,-1.037453668812579960e+08,-4.182722154124298692e+07
-2.115190677855295539e+08,-1.052594992884498090e+08,-4.255032913068603724e+07
-2.104436724357660413e+08,-1.067660583806716800e+08,-4.327037566803180426e+07
-2.093530245792740285e+08,-1.082649202325831801e+08,-4.398730301141355932e+07
-2.082471735467598140e+08,-1.097559609182482958e+08,-4.470105298783918470e+07
-2.071261698203333020e+08,-1.112390565177439749e+08,-4.541156739602559060e+07
-2.059900650405385196e+08,-1.127140831239773780e+08,-4.611878800932963192e+07
-2.048389120135129392e+08,-1.141809168494906425e+08,-4.682265657866945863e+07
-2.036727647180435359e+08,-1.156394338335625082e+08,-4.752311483558486402e+07
-2.024916783127479255e+08,-1.170895102493104786e+08,-4.822010449529446661e+07
-2.012957091431793571e+08,-1.185310223110531867e+08,-4.891356725987466425e+07
-2.000849147490322888e+08,-1.199638462817182094e+08,-4.960344482145734131e+07
-1.988593538713338673e+08,-1.213878584804375768e+08,-5.028967886551433057e+07
-1.976190864596348703e+08,-1.228029352903181165e+08,-5.097221107422330230e+07
-1.963641736792392433e+08,-1.242089531663434058e+08,-5.165098312989333272e+07
-1.950946779184697270e+08,-1.256057886434097141e+08,-5.232593671845227480e+07
-1.938106627958892286e+08,-1.269933183445940614e+08,-5.299701353304260969e+07
-1.925121931675807238e+08,-1.283714189895354211e+08,-5.366415527766869217e+07
-1.911993351343995333e+08,-1.297399674030237347e+08,-5.432730367094079405e+07
-1.898721560492399931e+08,-1.310988405237512738e+08,-5.498640044989462197e+07
-1.885307245242778063e+08,-1.324479154132660329e+08,-5.564138737390449643e+07
-1.871751104382346272e+08,-1.337870692650691718e+08,-5.629220622866338491e+07
-1.858053849435561895e+08,-1.351161794139746726e+08,-5.693879883028575033e+07
-1.844216204736427069e+08,-1.364351233455725610e+08,-5.758110702945744991e+07
-1.830238907499818206e+08,-1.377437787059509754e+08,-5.821907271570739150e+07
-1.816122707892690599e+08,-1.390420233115804791e+08,-5.885263782175415754e+07
-1.801868369104902148e+08,-1.403297351593795717e+08,-5.948174432793759555e+07
-1.787476667419159114e+08,-1.416067924370066226e+08,-6.010633426675620675e+07
-1.772948392280625105e+08,-1.428730735333122909e+08,-6.072634972747962177e+07
