X_km,Y_km,Z_km
-1.250979247225537002e+08,-7.731519643535754085e+07,-3.350190369633664936e+07
-1.236870733257042021e+08,-7.928190123430784047e+07,-3.435450809928968549e+07
-1.222400353601380885e+08,-8.122578561114339530e+07,-3.519723688896747679e+07
-1.207572158650244772e+08,-8.314629534439080954e+07,-3.602984622698573768e+07
-1.192390322281190306e+08,-8.504287642560471594e+07,-3.685209196177962422e+07
-1.176859147647594213e+08,-8.691497574412925541e+07,-3.766373003381551802e+07
-1.160983072869495749e+08,-8.876204151987333596e+07,-3.846451674979621917e+07
-1.144766678834176958e+08,-9.058352356518661976e+07,-3.925420897775752097e+07
-1.128214700786184818e+08,-9.237887354026931524e+07,-4.003256435855919868e+07
-1.111332044566301107e+08,-9.414754545123460889e+07,-4.079934167207521200e+07
-1.094123806880544275e+08,-9.588899671929110587e+07,-4.155430152761844546e+07
-1.076595296624747664e+08,-9.760269016577953100e+07,-4.229720753580703586e+07
-1.058752051566090584e+08,-9.928809712648425996e+07,-4.302782802763114125e+07
-1.040599843008219600e+08,-1.009447015910450071e+08,-4.374593821106053889e+07
-1.022144662034050226e+08,-1.025720048415717334e+08,-4.445132245004464686e+07
-1.003392685045310259e+08,-1.041695297333903462e+08,-4.514377621420238912e+07
-9.843502222428281605e+07,-1.057368237172615379e+08,-4.582310726679705083e+07
-9.650236577032086253e+07,-1.072734600052041858e+08,-4.648913584512726218e+07
-9.454193914326427877e+07,-1.087790367919441760e+08,-4.714169385793194175e+07
-9.255437917274332047e+07,-1.102531749117154181e+08,-4.778062335123301297e+07
-9.054031619753512740e+07,-1.116955145396198183e+08,-4.840577458643725514e+07
-8.850037221153484285e+07,-1.131057115133930743e+08,-4.901700403162304312e+07
-8.643516028717616200e+07,-1.144834336797126383e+08,-4.961417246076911688e+07
-8.434528505090978742e+07,-1.158283575099781752e+08,-5.019714326644819975e+07
-8.223134401265004277e+07,-1.171401651518992484e+08,-5.076578105231451243e+07
-8.009392955331403017e+07,-1.184185420557256937e+08,-5.131995056249599159e+07
-7.793363134062595665e+07,-1.196631752797941864e+08,-5.185951599019423127e+07
-7.575103891424277425e+07,-1.208737525157463551e+08,-5.238434067210388184e+07
-7.354674418811815977e+07,-1.220499617955652177e+08,-5.289428712946330756e+07
-7.132134365926198661e+07,-1.231914917711625099e+08,-5.338921737821154296e+07
-6.907544017849111557e+07,-1.242980323974394947e+08,-5.386899340785717964e+07
-6.680964423126436025e+07,-1.253692758077291101e+08,-5.433347772225504369e+07
-6.452457479242456704e+07,-1.264049171692623496e+08,-5.478253384788428992e+07
-6.222085992685566097e+07,-1.274046553676283509e+08,-5.521602674907897413e+07
-5.989913736131234467e+07,-1.283681934804550111e+08,-5.563382313933736831e+07
-5.756005523493711650e+07,-1.292952391134972572e+08,-5.603579172862602770e+07
-5.520427317717035115e+07,-1.301855047528111339e+08,-5.642180348955547065e+07
-5.283246379490794986e+07,-1.310387083515357077e+08,-5.679173206559012085e+07
-5.044531454599547386e+07,-1.318545744553723186e+08,-5.714545448619056493e+07
-4.804352975695193559e+07,-1.326328362466106564e+08,-5.748285237005673349e+07
-4.562783219932214171e+07,-1.333732388218654096e+08,-5.780381372820029408e+07
-4.319896333111271262e+07,-1.340755436809503734e+08,-5.810823527994454652e+07
-4.075768132013007253e+07,-1.347395338277493417e+08,-5.839602490941055864e+07
-3.830475647804419696e+07,-1.353650183421688974e+08,-5.866710366183799505e+07
-3.584096461646819860e+07,-1.359518351435720026e+08,-5.892140667442502826e+07
-3.336707965267961845e+07,-1.364998511132122874e+08,-5.915888271462794393e+07
-3.088386707460508123e+07,-1.370089595942671299e+08,-5.937949244370610267e+07
-2.839207946725635976e+07,-1.374790760918289125e+08,-5.958320590444072336e+07
-2.589245447556281462e+07,-1.379101333467375934e+08,-5.976999986165522784e+07
-2.338571481670530140e+07,-1.383020767700744867e+08,-5.993985548147223145e+07
-2.087256960650652274e+07,-1.386548607436471879e+08,-6.009275656010751426e+07
-1.835371633733528107e+07,-1.389684458565385938e+08,-6.022868828396518528e+07
-1.582984310198803246e+07,-1.392427969414116144e+08,-6.034763640969717503e+07
-1.330163086517033353e+07,-1.394778817563038766e+08,-6.044958676609255373e+07
-1.076975567342966050e+07,-1.396736701943052709e+08,-6.053452501835566759e+07
-8.234890728833475150e+06,-1.398301339209104180e+08,-6.060243665095151216e+07
-5.697708288090908900e+06,-1.399472463518660367e+08,-6.065330712366482615e+07
-3.158881373110315762e+06,-1.400249829164301157e+08,-6.068712215908439457e+07
-6.190852638014755212e+05,-1.400633215740858316e+08,-6.070386812870341539e+07
1.921001283011055784e+06,-1.400622435252580345e+08,-6.070353250341316313e+07
4.460695116745815612e+06,-1.400217339949815571e+08,-6.068610432085280865e+07
6.999308008372575045e+06,-1.399417829480081797e+08,-6.065157461887225509e+07
9.536146028802281246e+06,-1.398223856643421948e+08,-6.059993681064777821e+07
1.207050880227978714e+07,-1.396635432280414104e+08,-6.053118702493762225e+07
1.460168851086835563e+07,-1.394652630778402388e+08,-6.044532448023195565e+07
1.712896860727259889e+07,-1.392275598123286664e+08,-6.034235199540589750e+07
1.965162227107476071e+07,-1.389504564907429814e+08,-6.022227677288737148e+07
2.216891080011062324e+07,-1.386339867508144677e+08,-6.008511161565295607e+07
2.468008244594809040e+07,-1.382781980656522810e+08,-5.993087669831711054e+07
2.718437257373340055e+07,-1.378831561860027909e+08,-5.975960183313636482e+07
2.968100612377740443e+07,-1.374489502071620226e+08,-5.957132886324550211e+07
3.216920286631144583e+07,-1.369756970248916745e+08,-5.936611352678608149e+07
3.464818491834148765e+07,-1.364635436807638407e+08,-5.914402608653878421e+07
3.711718493789815903e+07,-1.359126665727070868e+08,-5.890515032995476574e+07
3.957545298138784617e+07,-1.353232675771703124e+08,-5.864958110370215774e+07
4.202226051407275349e+07,-1.346955682163235843e+08,-5.837742105728776008e+07
4.445690120644441247e+07,-1.340298034998490363e+08,-5.808877745063231885e+07
4.687868924644853175e+07,-1.333262167806525677e+08,-5.778375966686644405e+07
4.928695639060508460e+07,-1.325850562036993057e+08,-5.746247764788063616e+07
5.168104879588329792e+07,-1.318065726244379580e+08,-5.712504110903457552e+07
5.406032417257313430e+07,-1.309910185564034283e+08,-5.677155925040555745e+07
5.642414938542660326e+07,-1.301386477411580682e+08,-5.640214073411812633e+07
5.877189845988719910e+07,-1.292497150831070095e+08,-5.601689380578082800e+07
6.110295092463040352e+07,-1.283244767895270139e+08,-5.561592650332505256e+07
6.341669040347717702e+07,-1.273631906059563756e+08,-5.519934691491505504e+07
6.571250334454722703e+07,-1.263661161057406217e+08,-5.476726346261077374e+07
6.798977780566994846e+07,-1.253335150749598294e+08,-5.431978521673709899e+07
7.024790230720321834e+07,-1.242656520561823547e+08,-5.385702226271217316e+07
7.248626482821412385e+07,-1.231627950466771871e+08,-5.337908612647159398e+07
7.470425198153708875e+07,-1.220252162637417614e+08,-5.288609023525749147e+07
7.690124829573144019e+07,-1.208531928923453987e+08,-5.237815038525391370e+07
7.907663546961212158e+07,-1.196470078283208311e+08,-5.185538521848420054e+07
8.122979150594003499e+07,-1.184069505357663184e+08,-5.131791675430670381e+07
8.336008972207862139e+07,-1.171333181794648767e+08,-5.076587105088749528e+07
8.546689771185389161e+07,-1.158264172019989789e+08,-5.019937909143150598e+07
8.754957643307770789e+07,-1.144865655527898073e+08,-4.961857800438980013e+07
8.960747981934019923e+07,-1.131140957910370678e+08,-4.902361270003042370e+07
9.163995563128019869e+07,-1.117093590954498947e+08,-4.841463786813024431e+07
9.364634840085852146e+07,-1.102727297055084854e+08,-4.779182001529791951e+07
9.562600494132196903e+07,-1.088046086738291532e+08,-4.715533894148797542e+07
9.757828194704799354e+07,-1.073054254854664356e+08,-4.650538797836236656e+07
9.950255412588147819e+07,-1.057756364965047091e+08,-4.584217258990743756e+07
1.013982207818620950e+08,-1.042157202117253393e+08,-4.516590749762094021e+07
1.032647092202321440e+08,-1.026261706040207446e+08,-4.447681304719584435e+07
1.051014745661631823e+08,-1.010074902899093181e+08,-4.377511176123065501e+07
1.069079968591952175e+08,-9.936018510583671927e+07,-4.306102580858076364e+07
1.086837769205467105e+08,-9.768476075401705503e+07,-4.233477563452538103e+07
1.104283323094491065e+08,-9.598172130266541243e+07,-4.159657954620736092e+07
1.121411940421211571e+08,-9.425156888484230638e+07,-4.084665385265509784e+07
1.138219041569207460e+08,-9.249480397614225745e+07,-4.008521321851841360e+07
1.154700139389380664e+08,-9.071192587542137504e+07,-3.931247105276714265e+07
1.170850825971309096e+08,-8.890343320628446341e+07,-3.852863987313073874e+07
1.186666762203043401e+08,-8.706982434592616558e+07,-3.773393162982913107e+07
1.202143668403730690e+08,-8.521159775452657044e+07,-3.692855798631234467e+07
1.217277314550423473e+08,-8.332925227076128125e+07,-3.611273058188398927e+07
1.232063509585435241e+08,-8.142328750329476595e+07,-3.528666132959955931e+07
1.246498090461994857e+08,-7.949420442033073306e+07,-3.445056280065213889e+07
1.260576911986242384e+08,-7.754250614750207961e+07,-3.360464871277411282e+07
1.274295837951928377e+08,-7.556869892526951432e+07,-3.274913450880037621e+07
1.287650733354154825e+08,-7.357329320581221581e+07,-3.188423801098338887e+07
1.300637457451783866e+08,-7.155680493996587396e+07,-3.101018015955092013e+07
1.313251858055836558e+08,-6.951975714087106287e+07,-3.012718586533550546e+07
1.325489768055861294e+08,-6.746268180126225948e+07,-2.923548501515704393e+07
1.337347005777518451e+08,-6.538612223360525072e+07,-2.833531366870450974e+07
1.348819381923185587e+08,-6.329063589348399639e+07,-2.742691546174863353e+07
1.359902717678195536e+08,-6.117679762652379274e+07,-2.651054313883377984e+07
1.370592879436019361e+08,-5.904520294261175394e+07,-2.558645995788140222e+07
1.380885832919342816e+08,-5.689647045949366689e+07,-2.465494050971273705e+07
1.390777712377203703e+08,-5.473124239846748859e+07,-2.371627043464704975e+07
1.400264891879427135e+08,-5.255018230044285953e+07,-2.277074472992436215e+07
1.409344040980139077e+08,-5.035396998824241757e+07,-2.181866479725613073e+07
1.418012150255886018e+08,-4.814329482766415924e+07,-2.086033486084983125e+07
1.426266522568926513e+08,-4.591884894567846507e+07,-1.989605861600517854e+07
1.434104737724491060e+08,-4.368132190435971320e+07,-1.892613681216847524e+07
1.441524605085600913e+08,-4.143139755395740271e+07,-1.795086603953497484e+07
1.448524118007404506e+08,-3.916975290186049789e+07,-1.697053853847727180e+07
1.455101417970591784e+08,-3.689705830501661450e+07,-1.598544261261391640e+07
