JulianDate	X	Y	Z	VX	VY	VZ
2455348.5	-51811505.3673031	-142474437.386999	5299.15310679376	27.5426255177656	-10.181974871311	-0.000839494174301958
2455349.5	-49424609.5379006	-143333953.243968	5229.54706323147	27.7083467108887	-9.71373710201658	-0.000764081584315957
2455350.5	-47023720.0034527	-144152887.634756	5168.36815934628	27.8665349488844	-9.24259971364201	-0.000645344312819152
2455351.5	-44609492.5310335	-144930992.986475	5119.11233145744	28.0170762102222	-8.76863324360514	-0.000489096470756678
2455352.5	-42182592.776134	-145668028.323748	5084.75102461874	28.1598555224581	-8.29191928209732	-0.000301661981652046
2455353.5	-39743696.4219483	-146363760.093548	5067.68457246572	28.2947552930909	-7.8125477636079	-8.99709184691844e-05
2455354.5	-37293489.5394896	-147017962.847542	5069.67865072936	28.4216520296121	-7.33061651815276	0.000138156812187429
2455355.5	-34832669.2610362	-147630420.010511	5091.77114880085	28.5404125857312	-6.84623381323327	0.000373628121268954
2455356.5	-32361944.7445223	-148200925.013939	5134.14613965154	28.6508914779092	-6.35952429163479	0.000605724756221893
2455357.5	-29882038.252467	-148729283.083521	5195.98530851305	28.7529312861239	-5.87063804377308	0.000821969165681669
2455358.5	-27393685.9824122	-149215313.898299	5275.32538977265	28.8463683566591	-5.37976133310262	0.00100843669798634
2455359.5	-24897638.1141616	-149658855.140704	5368.96946275979	28.9310453627098	-4.88712582883055	0.0011507150016421
2455360.5	-22394657.4832418	-150059766.620026	5472.51147899032	29.0068302092301	-4.39301185080576	0.00123555083348559
2455361.5	-19885516.4695321	-150417934.259879	5580.52474442869	29.0736375379685	-3.89774144167889	0.00125292711013447
2455362.5	-17370992.145334	-150733272.986993	5686.92888341844	29.1314463096812	-3.40166003290597	0.00119800551210458
2455363.5	-14851860.3182029	-151005727.653448	5785.49466191977	29.1803069182126	-2.90511024344632	0.00107227595012382
2455364.5	-12328889.5353405	-151235271.612112	5870.39772040397	29.2203349266847	-2.40840511347161	0.000883509502861757
2455365.5	-9802836.13716434	-151421903.229748	5936.71755366772	29.2516938480728	-1.91180814193633	0.000644590975848458
2455366.5	-7274441.05995656	-151565641.123057	5980.80336616933	29.2745729926041	-1.41552392149632	0.000371700846023337
2455367.5	-4744428.54050056	-151666519.031125	6000.47527362406	29.2891664330499	-0.919698663823557	8.24058136343897e-05
2455368.5	-2213506.45260067	-151724581.04177	5995.0712473169	29.2956565865556	-0.424427218453379	-0.000205960931130872
2455369.5	317632.168562244	-151739877.572634	5965.37200902402	29.2942030627497	0.0702369834479842	-0.000477501979455546
2455370.5	2848306.83382398	-151712462.250453	5913.43888037652	29.2849358196288	0.564271329843928	-0.000718582631522552
2455371.5	5377846.85862439	-151642389.699041	5842.39317847043	29.267951457494	1.0576736551264	-0.000918370269450297
2455372.5	7905588.41140533	-151529714.206665	5756.15928818285	29.2433120037495	1.55045226887805	-0.0010691404804396
2455373.5	10430871.5588393	-151374489.231996	5659.19096828252	29.211046055774	2.04261657299366	-0.00116635778223584
2455374.5	12953037.511084	-151176767.677369	5556.20072212815	29.1711522447952	2.53416880014702	-0.00120852380422021
2455375.5	15471426.255314	-150936602.799881	5451.9118418172	29.123604659687	3.02509763947897	-0.00119681086365553
2455376.5	17985374.7140891	-150654049.567496	5350.84926874936	29.0683593996294	3.5153743847719	-0.00113454405988178
2455377.5	20494215.4782578	-150329166.230613	5257.17824557424	29.0053611242653	4.00495177946052	-0.00102663109279466
2455378.5	22997276.065215	-149962015.889233	5174.59058531374	28.9345485010613	4.49376516465048	-0.000879047095577734
2455379.5	25493878.5704754	-149552667.890548	5106.22982483357	28.8558577681375	4.98173509123676	-0.000698461422283803
2455380.5	27983339.5319496	-149101198.975333	5054.64052519947	28.7692240769891	5.46877034015212	-0.000492057034577886
2455381.5	30464969.8164103	-148607694.184842	5021.7242988199	28.6745807125009	5.95477027035136	-0.000267554313559515
2455382.5	32938074.3626963	-148072247.630518	5008.68568406254	28.5718566663674	6.43962548682	-3.34153496557299e-05
2455383.5	35401951.673585	-147494963.311301	5015.95462057739	28.4609734260936	6.92321593371135	0.000200832438019827
2455384.5	37855893.043077	-146875956.232787	5043.07955359668	28.3418423372553	7.40540573024771	0.000424263449778195
2455385.5	40299181.6498269	-146215354.122031	5088.59749038517	28.2143645298567	7.8860345921397	0.000624389154476823
2455386.5	42731091.845665	-145513300.001292	5149.90585462004	28.0784359551224	8.36490683239207	0.000787410669766064
2455387.5	45150889.1900265	-144769955.719348	5223.18416258693	27.9339599291251	8.84178087842905	0.000899160712479752
2455388.5	47557831.9253067	-143985506.186533	5303.43320479244	27.7808677735616	9.31636447762782	0.000946885202882441
2455389.5	49951174.4819772	-143160163.55639	5384.6992174834	27.6191441804021	9.78832165154099	0.000921672361330117
2455390.5	52330173.0994802	-142294170.157207	5460.51320248842	27.4488491486323	10.2572947804025	0.000820854023177553
2455391.5	54694092.8245733	-141387798.952695	5524.50131043047	27.2701263915266	10.7229384828886	0.000649401378550518
2455392.5	57042214.4094794	-140441350.927843	5571.04365359247	27.0831923034133	11.1849547652466	0.000419582242373373
2455393.5	59373839.4928584	-139455149.840785	5595.82670408487	26.8883085261067	11.6431170492056	0.000148923074139162
2455394.5	61688293.0660283	-138429535.654912	5596.17419131845	26.6857485745722	12.0972763066531	-0.000142703348402939
2455395.5	63984923.2133044	-137364858.170058	5571.12697437406	26.4757696429225	12.547351278937	-0.000435819560834716
2455396.5	66263098.8771621	-136261471.921621	5521.31986286491	26.2585955001615	12.9933103240008	-0.000713237043695969
2455397.5	68522206.6329057	-135119732.725722	5448.73755010962	26.0344102339022	13.4351525161307	-0.000960980343062801
