aoa[deg],-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
cl/cd[-],-5.5,-5.5,-5,-5,-4.5,-4,-3.5,-3,-2,-1,0,0.75,1.75,3.25,4.75,6.25,8,9.5,11.25,12.25,12.75,12.75,12.25,11.75,11,10,8.5,7,5,4,3
Snippet 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass[kg], area[m^2], cd[-], pitch_angle[deg], vel_x[m/s] , vel_y[m/s], prop_speed[rpm], est_wind_x[m/s], est_wind_y[m/s],,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.37,27.32,2.27,5409.65,2.4,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.4,27.3,2.25,5363.43,2.4,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.43,27.28,2.27,5388.07,2.4,0.3,,,,,,,,,,,,,,,,,,,,,,,
Snippet 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass[kg], area[m^2], cd[-], pitch_angle[deg], vel_x[m/s] , vel_y[m/s], prop_speed[rpm], est_wind_x[m/s], est_wind_y[m/s],,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.28,25.62,-1.94,5441.33,5,-0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.28,26.08,-1.84,5408.86,5,-0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.27,26.53,-1.71,5387.31,5,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.26,26.93,-1.57,5363.41,5,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.25,27.32,-1.44,5390.48,4.9,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.24,27.67,-1.32,5355.51,4.9,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.23,28.01,-1.2,5406.83,4.8,0.1,,,,,,,,,,,,,,,,,,,,,,,
